,Annual Return,Volume,Number,class
Date,,,,
0,91.48533585619677,1783.4263241106719,20205.837944664032,0
1,37.66696349065005,9016.317138339922,76269.96837944664,1
2,40.2907193440179,1237.936003952569,15350.711462450592,0
3,121.6178725268307,406.4863122529644,9244.656126482214,0
4,56.15466952100616,6648.317604743083,58516.280632411064,1
5,197.8236731068177,856.7731264822133,17412.679841897232,0
6,26.404741000877962,2771.9673794466403,38430.245059288536,0
7,33.37496584832756,1455.052980237154,21576.557312252964,0
8,18.792934249263997,7644.535031620554,54979.08300395257,1
9,3.2993242347952765,3160.9425849802374,28144.996047430832,0
10,8.011062247812493,1735.7881739130435,23375.07114624506,0
11,-1.0227610830110085,1603.8382063492063,27058.56349206349,0
12,74.9882816161995,238.08992885375494,6278.260869565217,0
13,14.957345971563981,12942.973703557313,84308.81818181818,1
14,261.7513134851138,2755.9568339920947,29883.379446640316,0
15,25.322580645161295,11263.31357312253,63239.071146245056,1
16,35.29134229771172,2347.084596837945,23326.89723320158,0
17,10.17316017316017,1998.7530909090908,21813.146245059288,0
18,48.20721982102636,2051.385316205534,26075.10276679842,0
19,10.099772448800973,3990.8605217391305,33289.071146245056,0
20,34.400999821460445,313.0985296442688,7585.501976284585,0
21,131.09589041095893,364.29055335968377,7008.415019762846,0
22,140.30902067711887,1342.4280632411067,14165.229249011858,0
23,35.38461538461539,8492.847090909092,67114.59288537549,1
24,34.7970357261365,1527.510561264822,19137.8023715415,0
25,66.56063309799056,2836.887256916996,32308.577075098816,0
26,58.88644688644688,1077.4970592885377,13826.99604743083,0
27,44.455661444031676,1212.2268458498024,22029.371541501976,0
28,31.649021495027252,3105.9629486166004,24231.932806324112,0
29,-10.23622047244094,11988.174604743082,95309.73913043478,1
30,86.61215643778938,2185.8873359683794,23297.82608695652,0
31,79.46247464503044,2409.743086956522,24007.747035573124,0
32,22.0305121685434,1381.4785454545454,15568.430830039526,0
33,38.72376727520899,997.1101541501977,17218.308300395256,0
34,106.53526970954357,511.73820553359684,12668.256916996048,0
35,81.44034396273737,1215.9166324110672,22401.782608695652,0
36,16.157012643340206,1423.3060553359683,17462.264822134388,0
37,65.3039554021768,1215.5556007905138,15601.644268774704,0
38,60.424431184840344,2066.5120197628457,19325.830039525692,0
39,27.262578741727133,8290.793620553359,83699.76679841898,1
40,74.38088976550517,859.7219881422925,14176.893280632412,0
41,65.11664815108715,4054.4255296442684,41699.371541501976,0
42,51.21341610900589,1465.9521739130435,17906.956521739132,0
43,40.77014218009478,5491.168909090909,50575.50988142293,1
44,0.20147750167896772,10281.515035573124,76318.81027667984,1
45,514.3049327354261,18815.91742687747,174453.72727272726,2
46,66.8380824358754,137.18709486166006,5386.494071146245,0
47,2082.669537136707,6564.748446640317,67032.31225296443,1
48,16.38907395069953,34266.195407114625,165239.26086956522,2
49,74.70905478285553,983.1197351778656,13277.91304347826,0
50,9.162055152932458,1097.2274743083003,25679.85770750988,0
51,35.99764913311784,664.8326482213439,11858.845849802372,0
52,40.43186326873188,544.7320869565217,9424.513833992094,0
53,56.08427876823339,1541.8957470355733,21607.786561264824,0
54,131.33109082172035,207.025209486166,4948.486166007905,0
55,42.25252762755703,248.5482924901186,6129.280632411067,0
56,58.44471018570625,1724.1282055335969,29632.106719367588,0
57,37.815631262525045,716.5802529644269,11611.347826086956,0
58,42.17483327343157,3784.4617312252963,49504.786561264824,1
59,5.0328334803489225,1948.8909407114625,28633.12648221344,0
60,5.0328334803489225,13989.420772151898,65943.0506329114,1
61,60.92786590841064,496.0966442687747,9478.462450592886,0
62,92.01456990753714,590.7116837944665,10128.581027667984,0
63,57.475582268970705,1822.8735217391304,17984.292490118576,0
64,59.9137508575909,1408.9559841897235,17078.09486166008,0
65,26.845693382108404,2032.7597747035575,24452.505928853756,0
