Ticker,Company,Sector
ABT,Abbott Laboratories,Health Care
ABBV,AbbVie,Health Care
ABMD,Abiomed,Health Care
A,Agilent Technologies,Health Care
ALGN,Align Technology,Health Care
ABC,AmerisourceBergen,Health Care
AMGN,Amgen,Health Care
ANTM,Anthem,Health Care
BAX,Baxter International,Health Care
BDX,Becton Dickinson,Health Care
BIO,Bio-Rad Laboratories,Health Care
TECH,Bio-Techne,Health Care
BIIB,Biogen,Health Care
BSX,Boston Scientific,Health Care
BMY,Bristol Myers Squibb,Health Care
CAH,Cardinal Health,Health Care
CTLT,Catalent,Health Care
CNC,Centene Corporation,Health Care
CERN,Cerner,Health Care
CRL,Charles River Laboratories,Health Care
CI,Cigna,Health Care
CVS,CVS Health,Health Care
DHR,Danaher Corporation,Health Care
DVA,DaVita,Health Care
XRAY,Dentsply Sirona,Health Care
DXCM,DexCom,Health Care
EW,Edwards Lifesciences,Health Care
LLY,Eli Lilly & Co,Health Care
GILD,Gilead Sciences,Health Care
HCA,HCA Healthcare,Health Care
HSIC,Henry Schein,Health Care
HOLX,Hologic,Health Care
HUM,Humana,Health Care
IDXX,Idexx Laboratories,Health Care
ILMN,Illumina,Health Care
INCY,Incyte,Health Care
ISRG,Intuitive Surgical,Health Care
IQV,IQVIA,Health Care
JNJ,Johnson & Johnson,Health Care
LH,LabCorp,Health Care
MCK,McKesson Corporation,Health Care
MDT,Medtronic,Health Care
MRK,Merck & Co.,Health Care
MTD,Mettler Toledo,Health Care
MRNA,Moderna,Health Care
OGN,Organon & Co.,Health Care
PKI,PerkinElmer,Health Care
PFE,Pfizer,Health Care
DGX,Quest Diagnostics,Health Care
REGN,Regeneron Pharmaceuticals,Health Care
RMD,ResMed,Health Care
STE,Steris,Health Care
SYK,Stryker Corporation,Health Care
TFX,Teleflex,Health Care
COO,The Cooper Companies,Health Care
TMO,Thermo Fisher Scientific,Health Care
UNH,UnitedHealth Group,Health Care
UHS,Universal Health Services,Health Care
VRTX,Vertex Pharmaceuticals,Health Care
VTRS,Viatris,Health Care
WAT,Waters Corporation,Health Care
WST,West Pharmaceutical Services,Health Care
ZBH,Zimmer Biomet,Health Care
ZTS,Zoetis,Health Care
